tier,wav_hash,soft_distance,hard_errors,coherence,is_verified
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.008667407,8,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.023212781,18,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.007485634,6,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.024345268,12,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.0055909776,5,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.0005305363,1,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.012320672,13,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.031625725,15,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.0037144506,7,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.0022347965,2,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.031215386,14,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.022172945,15,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.046433795,15,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.022105498,10,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.009413496,13,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.0012729433,4,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.044545803,23,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.114812545,39,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.0031869835,5,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.009876341,9,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.03589668,19,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.023600884,10,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.02548231,14,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.015893197,12,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.03768334,14,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.015974903,8,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0,0,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.011355421,8,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.034720264,23,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0,0,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.001980342,5,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.035664804,23,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.011116435,15,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.06944012,22,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.026248794,16,,false
hard_200,ed662c9d458d7067fef885477fb5ab81e526e0d61d5167d3bc0208e2ea1ef424,0.03243252,13,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.00046470977,2,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.000075809854,1,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.00035561918,1,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.013535711,11,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.0022184707,3,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.009424083,7,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.00067376066,1,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.009464294,7,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.020707594,14,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0,0,,false
hard_200,d24aaced56575d10fef76e4d510d34e42eb25f6b49356f6086323f2a9dac465d,0.010671359,10,,false
